doc_idx,ArticleID,group,Readability,Readability_resid,total_bigrams
147,4756,0,6,-1.632896107250244,50
148,4765,0,4,-3.2275920956491726,27
149,4777,0,7,-1.1852014155827515,28
150,4796,0,6,-1.2328277175616407,23
151,4802,0,5,-2.6938924730804326,21
152,4806,0,7,-0.9312266069768382,26
153,4820,0,6,-1.5122056789169704,31
154,4831,0,7,-0.9319637531818117,36
155,4832,0,7,-0.8598770690291477,27
156,4852,0,6,-1.8237418637742424,30
157,4855,0,6,-0.8590843209624817,36
158,4861,0,7,-0.9100780092504017,94
159,4885,0,6,-1.1171986158252905,26
160,4886,0,7,-1.4448689056535784,70
161,4951,0,6,-1.0180683402207844,37
162,4972,0,7,-1.2637612164469214,25
163,4974,0,6,-1.3062414968112002,38
164,5026,0,7,-0.8520494423203777,12
165,5056,0,5,-2.483428616780653,37
166,5061,0,7,-1.0812278779580389,30
167,5204,0,7,-1.3281718077601532,19
168,5212,0,6,-1.2328105525147448,27
169,5225,0,7,-1.002289217675136,17
170,5235,0,6,-2.0341572933734433,34
171,5265,0,7,-0.8851975118717936,38
172,5267,0,7,-0.9688638646801557,30
173,5310,0,7,-1.0329125985757752,33
174,5434,0,6,-1.3195405278905543,19
175,5442,0,7,-0.8432677216574005,36
176,5453,0,6,-2.0386379141977766,36
177,5477,0,7,-1.0134223404110951,32
178,5485,0,6,-1.1699192309027975,27
179,5512,0,7,-1.0358128743723416,25
180,5521,0,6,-2.0804062652456476,27
181,5524,0,7,-1.308363437867314,35
182,5528,0,7,-1.1282320217475252,48
183,5697,0,7,-1.0020620655641999,23
184,5698,0,7,-1.188526055497782,23
185,5707,0,7,-1.1308441992928486,22
186,5725,0,7,-0.9821665604361396,25
187,5726,0,7,-1.0576191070816865,27
188,5786,0,6,-2.018402699908581,20
189,5801,0,6,-1.7592398793642134,19
190,5835,0,6,-1.170563886078238,37
191,5836,0,7,-1.1434725568478754,29
192,5941,0,7,-1.180343729305811,25
193,5946,0,6,-2.5592243270732524,19
194,5970,0,7,-0.8707802057935599,16
195,5977,0,5,-2.3277457065417657,33
196,5987,0,6,-1.5383597045590935,30
197,6003,0,7,-0.9939126298041643,28
198,6021,0,6,-1.4770091279637043,22
199,6041,0,7,-0.845044708258361,27
200,6053,0,6,-1.3093559784664768,46
201,6058,0,5,-2.260779322035111,28
202,6069,0,6,-1.4096202990068392,24
203,6077,0,6,-1.0634683689310789,32
204,6084,0,4,-2.901699738020258,27
205,6099,0,7,-1.138794833950696,20
206,6106,0,6,-1.2407204372586929,33
207,6132,0,6,-1.1688289256643554,30
208,6135,0,7,-1.316728394598334,35
209,6147,0,6,-1.334261518470008,26
210,6161,0,6,-1.0229852869257554,70
211,6170,0,6,-1.1224026540830367,39
212,6188,0,6,-1.302607133826018,39
213,6193,0,6,-1.149424570680436,33
214,6212,0,5,-2.337599046438453,39
215,6229,0,7,-1.1590983372520896,34
216,6246,0,6,-1.060266086587852,26
217,6262,0,6,-1.7106189155732716,33
218,6333,0,7,-0.9961065703179584,25
219,6341,0,7,-0.9654040091623628,34
220,6362,0,6,-1.1016983567730954,28
221,6382,0,6,-1.3090949862920986,34
222,6394,0,6,-1.027477480020175,32
223,6424,0,7,-1.119158417399996,25
224,7524,0,6,-1.7396282807305656,39
225,7534,0,7,-1.0441019549445567,32
226,7542,0,7,-1.270529140315526,22
227,7560,0,7,-1.2493744941028968,19
228,7568,0,6,-1.645354408469304,36
229,7577,0,5,-2.1422911609494966,27
230,7579,0,6,-1.4748901950671698,33
231,7600,0,7,-0.9566380677444144,32
232,7644,0,5,-1.861158092409208,32
233,7680,0,7,-1.2424257727170787,42
234,7708,0,6,-2.004982200151847,44
235,7722,0,6,-1.4168396316150975,18
236,7789,0,7,-1.1759695878236336,31
237,7791,0,6,-0.9856361615814073,55
238,7801,0,6,-1.5231474290207325,33
239,7832,0,6,-1.4185666011600393,50
240,7836,0,5,-1.8926064444661579,42
241,7867,0,6,-1.0909944104305982,49
242,7942,0,6,-1.2485840155731802,28
243,8004,0,7,-0.8944899057859423,30
244,8109,0,4,-3.3696558308645734,30
245,8115,0,6,-1.3489891380480996,37
246,8129,0,6,-0.9974897852186375,20
247,8147,0,6,-2.129843758457154,25
248,8154,0,6,-1.4830678416531322,35
249,8167,0,7,-1.2332446618743713,34
250,8168,0,7,-0.9613453808062049,9
251,8174,0,6,-1.8061034388519328,39
252,8202,0,4,-2.441851918396461,42
253,8205,0,6,-1.3942678788080665,76
254,8249,0,6,-0.8740512402191438,50
