phrase_idx,phrase,n_docs,total_count,zeta,direction
3100,percentage_point,21,25,3.53217567911697,high_read
753,by_percent,60,73,3.50874669437054,high_read
3304,states_we,23,24,3.49544360329714,high_read
3211,declines_in,19,24,3.49544360323042,high_read
3681,these_changes,22,22,3.41667116149778,high_read
1554,find_no,41,43,3.39581692411813,high_read
1627,test_scores,30,42,3.37417264028111,high_read
4092,the_1980s,20,20,3.32910951947265,high_read
3961,birth_weight,11,20,3.32909641675565,high_read
4343,social_capital,10,19,3.28108418286209,high_read
1135,estimators_of,48,54,-3.26931641766214,low_read
4514,health_outcomes,16,18,3.22762319993538,high_read
4708,using_unique,18,18,3.22762319993531,high_read
1289,matrix_of,43,49,-3.18623303007903,low_read
4907,living_in,12,17,3.17548715186946,high_read
4924,oecd_countries,15,17,3.17481041337518,high_read
5086,to_we,16,17,3.17481041337371,high_read
5007,students_in,15,17,3.17481041335575,high_read
4991,school_choice,11,17,3.17291591346241,high_read
291,the_asymptotic,104,138,-3.13371125117,low_read
5156,at_age,9,16,3.11649689763445,high_read
5220,experiment_we,15,16,3.11496285937514,high_read
5419,that_percent,16,16,3.11496262549927,high_read
5193,control_group,15,16,3.11496262549654,high_read
